,Balcony_Terrace,Elevator,area,num_rooms,postcode,kaltmiete
195,True,True,150.0,3.0,10178,2448.0
196,True,True,391.1,8.5,10178,6062.05
197,True,True,56.26,2.0,13599,618.86
198,False,True,47.0,1.0,12555,752.0
199,True,True,190.4,4.0,10178,3617.6
200,True,True,81.68,3.0,12489,750.64
201,True,True,185.5,4.0,10178,3216.57
202,False,False,42.0,1.0,10245,900.0
203,False,True,85.29,4.0,10315,1322.0
204,True,False,201.0,3.0,10179,4950.0
205,False,False,42.0,1.0,10245,900.0
206,False,False,155.0,3.0,10117,2000.0
207,False,False,144.0,5.0,12203,1374.0
208,False,False,37.0,1.0,10439,709.25
209,True,False,104.0,4.0,14169,800.0
210,True,True,87.59,3.0,13187,990.0
211,True,False,119.0,4.0,13125,1798.0
212,True,True,190.4,5.0,10178,3495.74
213,False,True,69.45,2.0,10405,1076.48
214,True,False,73.87,3.0,12627,699.0
215,True,True,146.0,4.0,10249,2590.0
216,False,False,47.67,1.0,10829,962.96
217,True,True,87.0,3.0,10557,1340.0
218,False,True,148.03,4.0,14052,1700.0
219,True,True,76.23,3.0,13593,490.24
220,False,True,24.64,1.0,13407,291.98
221,False,True,60.0,2.0,10115,1130.0
222,True,True,60.0,2.0,10557,1323.0
223,False,True,47.0,2.0,10557,1193.0
224,True,True,58.0,2.0,10557,1298.0
225,True,True,175.4,4.5,10178,4034.2
226,False,True,30.0,1.0,10557,698.0
227,False,True,30.0,1.0,10557,925.0
228,True,True,43.0,2.0,10969,1070.0
229,True,True,36.4,1.0,13593,292.07
230,True,True,171.76,4.5,12205,2305.02
231,True,True,43.0,2.0,10969,1249.0
232,True,True,57.0,2.0,10245,1006.0
233,False,True,22.35,1.0,10557,745.0
234,False,False,86.87,3.0,12049,746.0
235,True,True,61.5,2.0,14199,1020.0
236,True,True,67.0,3.0,10179,1497.0
237,True,True,45.6,2.0,10179,1219.0
238,True,True,85.37,3.0,14199,1460.0
239,True,False,98.0,3.0,10115,1594.61
240,True,True,57.33,2.0,14199,1040.0
241,True,True,81.12,3.0,14199,1400.0
242,True,True,145.31,4.0,13156,1862.0
243,True,True,88.38,3.0,14199,1390.0
244,True,True,88.96,3.0,14199,1300.0
245,False,True,57.88,2.0,13581,578.0
246,False,True,75.16,3.0,10117,1195.04
247,True,False,118.17,3.0,12353,1360.0
248,True,False,64.62,2.0,12527,825.0
249,True,True,81.12,3.0,14199,1370.0
250,True,True,172.0,4.0,10777,4360.0
251,True,True,132.94,4.0,10785,1994.1
252,True,False,93.34,3.0,12489,1450.48
253,True,False,66.34,2.0,12489,1030.56
254,True,True,61.37,2.0,14199,1180.0
255,True,True,73.1,3.0,13127,725.0
256,True,True,75.0,3.0,12103,1500.0
257,True,True,300.0,7.0,10719,4350.0
258,True,True,300.0,7.0,10719,4500.0
